nota,rotulo
Foi detectada uma infestação severa de ferrugem asiática no talhão norte. Ação imediata necessária.,urgente
Praga de lagartas no setor leste. Intervenção urgente!,urgente
Chuva excessiva causando erosão. Verificar drenagem agora.,urgente
Foi detectada uma infestação severa de ferrugem asiática no talhão norte. Ação imediata necessária.,urgente
Praga de lagartas no setor leste. Intervenção urgente!,urgente
Chuva excessiva causando erosão. Verificar drenagem agora.,urgente
Foi detectada uma infestação severa de ferrugem asiática no talhão norte. Ação imediata necessária.,urgente
Praga de lagartas no setor leste. Intervenção urgente!,urgente
Chuva excessiva causando erosão. Verificar drenagem agora.,urgente
Foi detectada uma infestação severa de ferrugem asiática no talhão norte. Ação imediata necessária.,urgente
Praga de lagartas no setor leste. Intervenção urgente!,urgente
Chuva excessiva causando erosão. Verificar drenagem agora.,urgente
Foi detectada uma infestação severa de ferrugem asiática no talhão norte. Ação imediata necessária.,urgente
Praga de lagartas no setor leste. Intervenção urgente!,urgente
Chuva excessiva causando erosão. Verificar drenagem agora.,urgente
A irrigação do setor sul foi concluída conforme o cronograma. Nenhuma anomalia observada.,urgente
Colheita no talhão central ok. Solo úmido ideal.,urgente
Manutenção de equipamentos realizada. Tudo em ordem.,urgente
A irrigação do setor sul foi concluída conforme o cronograma. Nenhuma anomalia observada.,urgente
Colheita no talhão central ok. Solo úmido ideal.,urgente
Manutenção de equipamentos realizada. Tudo em ordem.,rotina
A irrigação do setor sul foi concluída conforme o cronograma. Nenhuma anomalia observada.,rotina
Colheita no talhão central ok. Solo úmido ideal.,rotina
Manutenção de equipamentos realizada. Tudo em ordem.,rotina
A irrigação do setor sul foi concluída conforme o cronograma. Nenhuma anomalia observada.,rotina
Colheita no talhão central ok. Solo úmido ideal.,rotina
Manutenção de equipamentos realizada. Tudo em ordem.,rotina
A irrigação do setor sul foi concluída conforme o cronograma. Nenhuma anomalia observada.,rotina
Colheita no talhão central ok. Solo úmido ideal.,rotina
Manutenção de equipamentos realizada. Tudo em ordem.,rotina
Irrigação sul concluída. Sem anomalias.,rotina
Colheita central ok. Solo ideal.,rotina
Manutenção equipamentos em ordem.,rotina
Monitoramento diário normal.,rotina
Fertilização aplicada conforme plano.,rotina
Inspeção folhas sem problemas.,rotina
Relatório semanal enviado.,rotina
Clima favorável hoje.,rotina
Armazenamento colheita ok.,rotina
Equipe no cronograma.,rotina
Irrigação sul concluída. Sem anomalias.,rotina
Colheita central ok. Solo ideal.,rotina
Manutenção equipamentos em ordem.,rotina
Monitoramento diário normal.,rotina
Fertilização aplicada conforme plano.,rotina
Inspeção folhas sem problemas.,rotina
Relatório semanal enviado.,rotina
Clima favorável hoje.,rotina
Armazenamento colheita ok.,rotina
Equipe no cronograma.,rotina
Infestação severa de praga no talhão norte!,urgente
